Ischnacanthidae,Animalia,Chordata,Acanthodii,M,,,,,,,,,,,,,,,,,,,,,F1,1,1,1,1,1,1,1,1,1,1,1,L1,,,,,
Climatiidae,Animalia,Chordata,Acanthodii,MF,,,,,,,,,,,,,,,,,,,F1,1,1,1,1,1,1,1,L1,,,,,,,,,,,
Euthacanthidae,Animalia,Chordata,Acanthodii,F,,,,,,,,,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,,,
Diplacanthidae,Animalia,Chordata,Acanthodii,MF,,,,,,,,,,,,,,,,,,,,,,,,,,F1,1,L1,,,,,,,,,,
Culmacanthidae,Animalia,Chordata,Acanthodii,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,FL,,,,,,,,,,
Gyracanthidae,Animalia,Chordata,Acanthodii,MF,,,,,,,,,,,,,,,,,,,,,,,,F1,1,1,1,1,1,1,1,1,1,L1,,,,
Mesacanthidae,Animalia,Chordata,Acanthodii,MF,,,,,,,,,,,,,,,,,,,,,,,,F1,1,1,1,L1,,,,,,,,,,
Cheiracanthidae,Animalia,Chordata,Acanthodii,FL,,,,,,,,,,,,,,,,,,,,,,,,,F1,1,1,1,1,L1,,,,,,,,
Acanthodidae,Animalia,Chordata,Acanthodii,MF,,,,,,,,,,,,,,,,,,,,,,,,,,,,F1,1,1,1,1,1,1,1,1,1,L1
