Oeselaspididae,Animalia,Chordata,Agnatha,M,,,,,,,,,,,,,,,,,,,,F1,L1,,,,,,,,,,,,,
Didymaspididae,Animalia,Chordata,Agnatha,MF,,,,,,,,,,,,,,,,,,,,,,F1,L1,,,,,,,,,,,
Tannuaspididae,Animalia,Chordata,Agnatha,MF,,,,,,,,,,,,,,,,,,,,,,F1,L1,,,,,,,,,,,
Timanaspididae,Animalia,Chordata,Agnatha,M,,,,,,,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,
Tyriaspididae,Animalia,Chordata,Agnatha,M,,,,,,,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,
Unnamed,Animalia,Chordata,Agnatha,M,,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,,,,,,
Sclerodontidae,Animalia,Chordata,Agnatha,M,,,,,,,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,
Thyestiidae,Animalia,Chordata,Agnatha,M,,,,,,,,,,,,,,,,,,,,F1,1,1,L1,,,,,,,,,,,
Ateleaspididae,Animalia,Chordata,Agnatha,M,,,,,,,,,,,,,,,,,,,,F1,1,L1,,,,,,,,,,,,
Procephalaspididae,Animalia,Chordata,Agnatha,M,,,,,,,,,,,,,,,,,,,,,F1,L1,,,,,,,,,,,,
Cephalaspididae,Animalia,Chordata,Agnatha,F,,,,,,,,,,,,,,,,,,,,,,,F1,L1,,,,,,,,,,
Benneviaspididae,Animalia,Chordata,Agnatha,F,,,,,,,,,,,,,,,,,,,,,,,F1,L1,,,,,,,,,,
Boreaspididae,Animalia,Chordata,Agnatha,F,,,,,,,,,,,,,,,,,,,,,,,,FL,,,,,,,,,,
Scolenaspididae,Animalia,Chordata,Agnatha,F,,,,,,,,,,,,,,,,,,,,,,,F1,1,1,1,1,L1,,,,,,
Kiaeraspidiformes,Animalia,Chordata,Agnatha,F,,,,,,,,,,,,,,,,,,,,,,,F1,L1,,,,,,,,,,
Nectaspididae,Animalia,Chordata,Agnatha,F,,,,,,,,,,,,,,,,,,,,,,,,FL,,,,,,,,,,
Axinaspididae,Animalia,Chordata,Agnatha,F,,,,,,,,,,,,,,,,,,,,,,,,FL,,,,,,,,,,
Jamoytiidae,Animalia,Chordata,Agnatha,M,,,,,,,,,,,,,,,,,,,,F1,1,1,L1,,,,,,,,,,,
Endeiolepididae,Animalia,Chordata,Agnatha,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,FL,,,,,,
Birkeniidae,Animalia,Chordata,Agnatha,MF,,,,,,,,,,,,,,,,,,,,F1,1,1,L1,,,,,,,,,,,
Lasaniidae,Animalia,Chordata,Agnatha,M,,,,,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,,,
Euphaneropidae,Animalia,Chordata,Agnatha,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,FL,,,,,,
Eugaleaspididae,Animalia,Chordata,Agnatha,F,,,,,,,,,,,,,,,,,,,,F1,1,1,L1,,,,,,,,,,,
Dayongaspididae,Animalia,Chordata,Agnatha,F,,,,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,,,,
Hanyangaspididae,Animalia,Chordata,Agnatha,F,,,,,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,,,
Xiushuiaspididae,Animalia,Chordata,Agnatha,F,,,,,,,,,,,,,,,,,,,,FL,,,,,,,,,,,,,,
Polybranchiaspididae,Animalia,Chordata,Agnatha,F,,,,,,,,,,,,,,,,,,,,,,,F1,1,L1,,,,,,,,,
