Anchignathodontidae,Animalia,Chordata,Conodonta,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F1,1,1,1,1,1,1,1,1,1,1,1,1,1,L1,,,,,
Cavusgnathidae,Animalia,Chordata,Conodonta,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F1,1,1,1,1,1,1,1,1,L2,?L,,,,,,,,,,
Elictognathidae,Animalia,Chordata,Conodonta,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F1,L1,,,,,,,,,,,,,,,,,,,
Gnathodontidae,Animalia,Chordata,Conodonta,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F1,1,1,L1,,,,,,,,,,,,,,,,,
Idiognathodontidae,Animalia,Chordata,Conodonta,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F1,1,1,1,1,1,L1,,,,,,,,,,
Kockelellidae,Animalia,Chordata,Conodonta,M,,,,,,,,,,,,,,,,,,?F,F2,1,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mestognathidae,Animalia,Chordata,Conodonta,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F1,1,L1,,,,,,,,,,,,,,,,,
Palmatolepidae,Animalia,Chordata,Conodonta,M,,,,,,,,,,,,,,,,,,,,,,,,,,,F1,1,L1,,,,,,,,,,,,,,,,,,,,
Polygnathidae,Animalia,Chordata,Conodonta,M,,,,,,,,,,,,,,,,,,,,,,,,F1,1,1,1,1,1,1,L1,,,,,,,,,,,,,,,,,,
Spathognathodontidae,Animalia,Chordata,Conodonta,M,,,,,,,,,,,,,,,,,F1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,L1,,,,,,,,,,,,,,,
Sweetognathidae,Animalia,Chordata,Conodonta,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F1,1,1,1,1,1,1,1,1,1,1,1,1,L1,,,,,
Coleodontidae,Animalia,Chordata,Conodonta,M,,,,,,,,,,,,,,,F1,1,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fam. Nov. 1,Animalia,Chordata,Conodonta,M,,,,,,,,,,,,F1,1,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fam. Nov. 2,Animalia,Chordata,Conodonta,M,,,,,,,,,,,,,F1,1,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fam. Nov. 3,Animalia,Chordata,Conodonta,M,,,,,,,,,,,,,F1,1,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fam. Nov. 4,Animalia,Chordata,Conodonta,M,,,,,,,,,,,,,,F1,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fam. Nov. 5,Animalia,Chordata,Conodonta,M,,,,,,,,,,,,,,,?F,F2,1,1,1,1,1,1,1,L2,?,?,?,?,?L,,,,,,,,,,,,,,,,,,,,
Fam. Nov. 6,Animalia,Chordata,Conodonta,M,,,,,,,,,,,,,,,,,,F1,1,L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fam. Nov. 7,Animalia,Chordata,Conodonta,M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F1,L1,,,,,,,
